report_id,date,state,lga,community,category,description,severity_1to5,urgency_1to5,num_affected_est,evidence_type,evidence_confidence,verification_status,ai_confidence,risk_score,response_status,resolution_date,reporter_anonymous,is_demo_data
LMP-00001,2026-06-04,Kano,Nassarawa,Nassarawa Community 5,Healthcare Access,The primary health centre has no drugs in stock and the only nurse resigned 4 months ago.,3,5,40,text_only,0.5,Unverified,0.63,3.1,No Action Yet,,True,True
LMP-00002,2026-03-28,Anambra,Awka South,Awka South Community 9,Community Dispute,There is an ongoing land boundary dispute between two families that has led to tension in the market.,1,1,80,text_only,0.5,Unverified,0.74,0.2,Resolved,2026-04-08,True,True
LMP-00003,2026-04-03,Plateau,Jos North,Jos North Community 6,Safety/Security Concern,"Unknown persons have been seen surveying the area at night, residents are afraid.",4,1,1200,photo,0.9,Corroborated,0.73,3.2,In Progress,,True,True
LMP-00004,2026-06-24,Kano,Nassarawa,Nassarawa Community 4,Education/Infrastructure,"Public school roof collapsed during the storm, 5 pupils now learn under a tree.",2,4,600,photo,0.9,Corroborated,0.75,4.6,In Progress,,True,True
LMP-00005,2026-01-09,Cross River,Calabar Municipal,Calabar Municipal Community 9,Healthcare Access,The primary health centre has no drugs in stock and the only nurse resigned 9 months ago.,4,5,150,text_only,0.5,Corroborated,0.92,4.6,No Action Yet,,True,True
LMP-00006,2026-05-30,Plateau,Jos South,Jos South Community 2,Healthcare Access,"Community clinic promised in November has still not been built, pregnant women travel far for care.",4,4,80,photo,0.9,Needs Corroboration,0.71,6.2,No Action Yet,,False,True
LMP-00007,2026-04-09,Cross River,Calabar South,Calabar South Community 6,Healthcare Access,The primary health centre has no drugs in stock and the only nurse resigned 10 months ago.,3,1,40,photo,0.9,Corroborated,0.68,1.1,Referred to Authority,,False,True
LMP-00008,2026-01-01,Cross River,Calabar South,Calabar South Community 9,Education/Infrastructure,"Public school roof collapsed during the storm, 12 pupils now learn under a tree.",1,5,300,text_only,0.5,Unverified,0.74,1.3,No Action Yet,,True,True
LMP-00009,2026-01-01,Anambra,Awka South,Awka South Community 9,Electricity/Power,"Transformer in our street has been faulty for 12 months, several complaints filed with no response.",3,2,600,text_only,0.5,Corroborated,0.81,1.9,Referred to Authority,,True,True
LMP-00010,2026-07-16,Borno,Maiduguri,Maiduguri Community 2,Safety/Security Concern,"Unknown persons have been seen surveying the area at night, residents are afraid.",4,5,40,photo,0.9,Unverified,0.79,7.5,In Progress,,True,True
LMP-00011,2026-04-13,Rivers,Ikwerre,Ikwerre Community 8,Suspected Misuse of Public Funds,"A borehole project budgeted at a stated amount was completed but does not function, community wants transparency.",3,4,150,none,0.3,Corroborated,0.89,1.7,In Progress,,True,True
LMP-00012,2026-01-18,Borno,Jere,Jere Community 2,Healthcare Access,The primary health centre has no drugs in stock and the only nurse resigned 3 months ago.,3,5,150,text_only,0.5,Corroborated,0.62,3.5,No Action Yet,,True,True
LMP-00013,2026-06-18,Oyo,Ibadan North,Ibadan North Community 9,Healthcare Access,"Community clinic promised in July has still not been built, pregnant women travel far for care.",4,2,3000,photo,0.9,Needs Corroboration,0.79,11.5,No Action Yet,,False,True
LMP-00014,2026-02-18,Oyo,Ibadan South-West,Ibadan South-West Community 7,Environmental Hazard,"Waste has not been evacuated from this dumpsite in 12 weeks, causing serious odour and flooding risk.",4,1,15,voice_note,0.7,Conflicting Reports,0.74,1.1,No Action Yet,,False,True
LMP-00015,2026-08-26,Rivers,Obio-Akpor,Obio-Akpor Community 3,Education/Infrastructure,No teachers have been posted to our primary school since the last academic session.,2,5,40,photo,0.9,Conflicting Reports,0.98,3.7,Resolved,2026-10-18,True,True
LMP-00016,2026-09-03,Rivers,Obio-Akpor,Obio-Akpor Community 8,Environmental Hazard,"Waste has not been evacuated from this dumpsite in 8 weeks, causing serious odour and flooding risk.",2,1,1200,photo,0.9,Needs Corroboration,0.9,1.6,Under Review,,False,True
LMP-00017,2026-01-15,Rivers,Port Harcourt,Port Harcourt Community 5,Healthcare Access,The primary health centre has no drugs in stock and the only nurse resigned 11 months ago.,4,3,15,photo,0.9,High-Confidence,0.79,4.4,Referred to Authority,,True,True
LMP-00018,2026-08-28,Rivers,Port Harcourt,Port Harcourt Community 2,Healthcare Access,"Community clinic promised in September has still not been built, pregnant women travel far for care.",4,5,15,text_only,0.5,Needs Corroboration,0.77,4.1,Referred to Authority,,True,True
LMP-00019,2026-05-25,Enugu,Nsukka,Nsukka Community 6,Healthcare Access,"Community clinic promised in March has still not been built, pregnant women travel far for care.",5,3,3000,voice_note,0.7,Unverified,0.89,16.8,Under Review,,True,True
LMP-00020,2026-07-26,Kano,Fagge,Fagge Community 9,Education/Infrastructure,"Public school roof collapsed during the storm, 7 pupils now learn under a tree.",3,3,300,photo,0.9,Corroborated,0.92,4.2,Referred to Authority,,True,True
LMP-00021,2026-08-07,Anambra,Onitsha North,Onitsha North Community 2,Road/Transport Infrastructure,"Bridge construction stopped 3 months ago, commuters now risk crossing on foot.",4,2,300,voice_note,0.7,Needs Corroboration,0.7,2.9,Referred to Authority,,True,True
LMP-00022,2026-04-24,Anambra,Onitsha North,Onitsha North Community 5,Water Infrastructure,My community has not had water for 12 weeks and the borehole project announced last year has not been completed.,4,1,15,voice_note,0.7,High-Confidence,0.67,1.1,No Action Yet,,False,True
LMP-00023,2026-09-06,Anambra,Awka South,Awka South Community 2,Electricity/Power,We have had no electricity supply for 10 days despite paying our estimated bills.,4,5,80,voice_note,0.7,Needs Corroboration,0.64,6.0,Resolved,2026-11-05,True,True
LMP-00024,2026-01-07,Oyo,Ibadan North,Ibadan North Community 4,Electricity/Power,"Transformer in our street has been faulty for 10 months, several complaints filed with no response.",4,2,150,video,0.95,Conflicting Reports,0.97,3.5,In Progress,,True,True
LMP-00025,2026-08-12,Oyo,Ibadan South-West,Ibadan South-West Community 4,Education/Infrastructure,"Public school roof collapsed during the storm, 3 pupils now learn under a tree.",3,4,150,photo,0.9,Needs Corroboration,0.95,5.0,In Progress,,True,True
LMP-00026,2026-08-29,Enugu,Enugu East,Enugu East Community 4,Community Dispute,Youths from two neighbouring communities clashed over grazing route access.,3,3,600,text_only,0.5,High-Confidence,0.76,2.9,Referred to Authority,,True,True
LMP-00027,2026-02-18,Kano,Dala,Dala Community 3,Abuse/Protection Concern,Reports of a minor being kept out of school for exploitative labour in the local market.,4,3,600,voice_note,0.7,Unverified,0.97,5.4,In Progress,,True,True
LMP-00028,2026-06-20,Lagos,Epe,Epe Community 1,Suspected Misuse of Public Funds,"A borehole project budgeted at a stated amount was completed but does not function, community wants transparency.",1,3,600,text_only,0.5,High-Confidence,0.66,1.0,Referred to Authority,,False,True
LMP-00029,2026-03-15,Oyo,Ibadan South-West,Ibadan South-West Community 5,Suspected Misuse of Public Funds,"A borehole project budgeted at a stated amount was completed but does not function, community wants transparency.",2,4,80,text_only,0.5,Needs Corroboration,0.73,1.7,No Action Yet,,True,True
LMP-00030,2026-01-24,Plateau,Barkin Ladi,Barkin Ladi Community 6,Environmental Hazard,Gas flaring near our farmland is affecting crop yield and causing respiratory complaints.,2,4,80,text_only,0.5,Corroborated,0.72,1.7,Referred to Authority,,True,True
LMP-00031,2026-04-09,Kaduna,Kaduna North,Kaduna North Community 4,Road/Transport Infrastructure,"The road linking our community to the main highway has been impassable since the rains started, 2 accidents reported.",4,5,40,text_only,0.5,Needs Corroboration,0.94,4.2,In Progress,,False,True
LMP-00032,2026-07-25,Plateau,Jos North,Jos North Community 3,Water Infrastructure,My community has not had water for 8 weeks and the borehole project announced last year has not been completed.,2,5,3000,photo,0.9,Conflicting Reports,0.71,14.4,Under Review,,False,True
LMP-00033,2026-05-14,Anambra,Nnewi North,Nnewi North Community 6,Environmental Hazard,Gas flaring near our farmland is affecting crop yield and causing respiratory complaints.,4,4,3000,photo,0.9,Corroborated,0.71,23.0,In Progress,,False,True
LMP-00034,2026-01-17,Enugu,Enugu North,Enugu North Community 8,Electricity/Power,"Transformer in our street has been faulty for 5 months, several complaints filed with no response.",3,5,40,photo,0.9,Corroborated,0.7,5.6,In Progress,,False,True
LMP-00035,2026-04-01,Plateau,Jos South,Jos South Community 9,Environmental Hazard,Gas flaring near our farmland is affecting crop yield and causing respiratory complaints.,4,4,15,video,0.95,Needs Corroboration,0.9,6.2,No Action Yet,,True,True
LMP-00036,2026-08-04,Plateau,Jos South,Jos South Community 9,Suspected Misuse of Public Funds,"A borehole project budgeted at a stated amount was completed but does not function, community wants transparency.",1,4,15,voice_note,0.7,Corroborated,0.86,1.1,In Progress,,False,True
LMP-00037,2026-02-24,Rivers,Ikwerre,Ikwerre Community 9,Water Infrastructure,"The public water tap in our area has been dry since September, residents now trek 11km to fetch water.",3,1,1200,photo,0.9,Unverified,0.79,2.4,Under Review,,False,True
LMP-00038,2026-06-16,Oyo,Ibadan South-West,Ibadan South-West Community 7,Education/Infrastructure,No teachers have been posted to our primary school since the last academic session.,2,5,15,none,0.3,Corroborated,0.75,1.2,In Progress,,True,True
LMP-00039,2026-09-04,Lagos,Alimosho,Alimosho Community 4,Water Infrastructure,"Contractors abandoned the water scheme project midway, pipes are left exposed on the road.",2,1,150,text_only,0.5,Needs Corroboration,0.71,0.5,Referred to Authority,,True,True
LMP-00040,2026-03-04,Rivers,Obio-Akpor,Obio-Akpor Community 2,Abuse/Protection Concern,A vulnerable community member is reportedly being denied access to support services by a local intermediary.,5,4,1200,none,0.3,Needs Corroboration,0.69,5.3,In Progress,,True,True
LMP-00041,2026-01-28,Kaduna,Zaria,Zaria Community 2,Abuse/Protection Concern,A vulnerable community member is reportedly being denied access to support services by a local intermediary.,4,3,40,text_only,0.5,Conflicting Reports,0.74,2.5,In Progress,,False,True
LMP-00042,2026-03-04,Oyo,Egbeda,Egbeda Community 8,Road/Transport Infrastructure,"Bridge construction stopped 4 months ago, commuters now risk crossing on foot.",3,3,3000,text_only,0.5,Needs Corroboration,0.92,7.2,Under Review,,True,True
LMP-00043,2026-06-02,Kaduna,Kaduna South,Kaduna South Community 4,Environmental Hazard,Gas flaring near our farmland is affecting crop yield and causing respiratory complaints.,3,3,80,text_only,0.5,Unverified,0.75,1.9,No Action Yet,,True,True
LMP-00044,2026-01-24,Anambra,Awka South,Awka South Community 9,Healthcare Access,The primary health centre has no drugs in stock and the only nurse resigned 5 months ago.,4,5,150,text_only,0.5,Needs Corroboration,0.85,4.6,In Progress,,True,True
LMP-00045,2026-07-04,Enugu,Enugu North,Enugu North Community 4,Education/Infrastructure,No teachers have been posted to our primary school since the last academic session.,2,4,600,voice_note,0.7,Needs Corroboration,0.78,3.6,No Action Yet,,True,True
LMP-00046,2026-03-19,Oyo,Ibadan North,Ibadan North Community 9,Road/Transport Infrastructure,"The road linking our community to the main highway has been impassable since the rains started, 5 accidents reported.",3,5,300,none,0.3,Unverified,0.92,2.3,Under Review,,True,True
LMP-00047,2026-03-29,Anambra,Awka South,Awka South Community 5,Water Infrastructure,My community has not had water for 10 weeks and the borehole project announced last year has not been completed.,3,2,3000,photo,0.9,Unverified,0.62,8.6,Under Review,,True,True
LMP-00048,2026-01-31,Lagos,Ajeromi-Ifelodun,Ajeromi-Ifelodun Community 8,Electricity/Power,We have had no electricity supply for 8 days despite paying our estimated bills.,2,1,80,photo,0.9,Needs Corroboration,0.82,0.8,Resolved,2026-03-12,False,True
LMP-00049,2026-07-15,Cross River,Calabar Municipal,Calabar Municipal Community 9,Community Dispute,Youths from two neighbouring communities clashed over grazing route access.,3,4,300,text_only,0.5,High-Confidence,0.64,3.1,No Action Yet,,True,True
LMP-00050,2026-06-30,Enugu,Enugu North,Enugu North Community 2,Road/Transport Infrastructure,"The road linking our community to the main highway has been impassable since the rains started, 4 accidents reported.",2,1,1200,voice_note,0.7,Unverified,0.83,1.2,No Action Yet,,True,True
LMP-00051,2026-07-11,Borno,Maiduguri,Maiduguri Community 4,Education/Infrastructure,"Public school roof collapsed during the storm, 8 pupils now learn under a tree.",2,2,300,video,0.95,Unverified,0.65,2.0,Under Review,,True,True
LMP-00052,2026-01-07,Borno,Maiduguri,Maiduguri Community 8,Education/Infrastructure,No teachers have been posted to our primary school since the last academic session.,2,4,40,text_only,0.5,Corroborated,0.94,1.7,Referred to Authority,,True,True
LMP-00053,2026-01-24,Enugu,Nsukka,Nsukka Community 1,Education/Infrastructure,"Public school roof collapsed during the storm, 4 pupils now learn under a tree.",2,4,300,photo,0.9,Corroborated,0.83,3.7,Under Review,,False,True
LMP-00054,2026-01-23,Oyo,Ibadan South-West,Ibadan South-West Community 6,Safety/Security Concern,"There have been 4 reported cases of armed robbery on this road at night, no police patrol has been seen.",4,4,300,text_only,0.5,Corroborated,0.76,4.2,No Action Yet,,True,True
LMP-00055,2026-01-14,Kaduna,Kaduna South,Kaduna South Community 2,Community Dispute,There is an ongoing land boundary dispute between two families that has led to tension in the market.,2,1,150,text_only,0.5,Needs Corroboration,0.84,0.5,Under Review,,True,True
LMP-00056,2026-02-27,Kaduna,Zaria,Zaria Community 3,Education/Infrastructure,No teachers have been posted to our primary school since the last academic session.,1,5,150,text_only,0.5,Unverified,0.73,1.1,Under Review,,True,True
LMP-00057,2026-05-11,Borno,Maiduguri,Maiduguri Community 3,Environmental Hazard,Gas flaring near our farmland is affecting crop yield and causing respiratory complaints.,2,4,3000,photo,0.9,Needs Corroboration,0.82,11.5,Resolved,2026-07-02,True,True
LMP-00058,2026-07-15,Kano,Dala,Dala Community 7,Safety/Security Concern,"Unknown persons have been seen surveying the area at night, residents are afraid.",5,5,3000,video,0.95,Needs Corroboration,0.78,38.0,Under Review,,False,True
LMP-00059,2026-05-07,Borno,Jere,Jere Community 4,Healthcare Access,"Community clinic promised in July has still not been built, pregnant women travel far for care.",3,4,1200,voice_note,0.7,Conflicting Reports,0.86,7.4,Resolved,2026-05-14,True,True
LMP-00060,2026-09-06,Anambra,Nnewi North,Nnewi North Community 6,Electricity/Power,"Transformer in our street has been faulty for 3 months, several complaints filed with no response.",4,1,80,voice_note,0.7,Unverified,0.86,1.2,Under Review,,True,True
LMP-00061,2026-08-24,Oyo,Egbeda,Egbeda Community 7,Electricity/Power,"Transformer in our street has been faulty for 12 months, several complaints filed with no response.",3,3,3000,video,0.95,Unverified,0.63,13.7,Referred to Authority,,True,True
LMP-00062,2026-03-17,Enugu,Nsukka,Nsukka Community 2,Community Dispute,There is an ongoing land boundary dispute between two families that has led to tension in the market.,3,4,80,text_only,0.5,Unverified,0.95,2.6,In Progress,,True,True
LMP-00063,2026-08-22,Oyo,Ibadan South-West,Ibadan South-West Community 3,Healthcare Access,"Community clinic promised in November has still not been built, pregnant women travel far for care.",5,2,80,photo,0.9,Corroborated,0.93,3.9,No Action Yet,,True,True
LMP-00064,2026-05-31,Enugu,Enugu North,Enugu North Community 5,Environmental Hazard,Gas flaring near our farmland is affecting crop yield and causing respiratory complaints.,4,4,300,text_only,0.5,Needs Corroboration,0.68,4.2,Under Review,,True,True
LMP-00065,2026-01-06,Plateau,Barkin Ladi,Barkin Ladi Community 5,Environmental Hazard,Gas flaring near our farmland is affecting crop yield and causing respiratory complaints.,4,1,150,voice_note,0.7,Unverified,0.75,1.3,Referred to Authority,,False,True
LMP-00066,2026-06-18,Kaduna,Kaduna North,Kaduna North Community 1,Abuse/Protection Concern,Reports of a minor being kept out of school for exploitative labour in the local market.,5,3,150,text_only,0.5,Corroborated,0.84,3.5,In Progress,,True,True
LMP-00067,2026-08-13,Kano,Nassarawa,Nassarawa Community 5,Environmental Hazard,"Waste has not been evacuated from this dumpsite in 11 weeks, causing serious odour and flooding risk.",4,1,300,voice_note,0.7,Unverified,0.77,1.5,In Progress,,True,True
LMP-00068,2026-06-23,Anambra,Nnewi North,Nnewi North Community 5,Road/Transport Infrastructure,"Bridge construction stopped 9 months ago, commuters now risk crossing on foot.",4,3,40,text_only,0.5,Corroborated,0.65,2.5,No Action Yet,,False,True
LMP-00069,2026-03-01,Anambra,Onitsha North,Onitsha North Community 2,Community Dispute,There is an ongoing land boundary dispute between two families that has led to tension in the market.,1,3,300,text_only,0.5,High-Confidence,0.92,0.8,No Action Yet,,False,True
LMP-00070,2026-05-07,Lagos,Eti-Osa,Eti-Osa Community 9,Safety/Security Concern,"There have been 12 reported cases of armed robbery on this road at night, no police patrol has been seen.",5,4,300,text_only,0.5,Unverified,0.66,5.2,No Action Yet,,True,True
LMP-00071,2026-08-02,Kano,Fagge,Fagge Community 9,Road/Transport Infrastructure,"Bridge construction stopped 9 months ago, commuters now risk crossing on foot.",3,5,1200,text_only,0.5,Conflicting Reports,0.88,6.6,Referred to Authority,,False,True
LMP-00072,2026-04-02,Cross River,Calabar South,Calabar South Community 5,Water Infrastructure,"Contractors abandoned the water scheme project midway, pipes are left exposed on the road.",3,2,600,photo,0.9,Needs Corroboration,0.87,3.5,Resolved,2026-04-10,False,True
LMP-00073,2026-02-22,Kaduna,Kaduna North,Kaduna North Community 2,Environmental Hazard,"Waste has not been evacuated from this dumpsite in 12 weeks, causing serious odour and flooding risk.",3,5,15,photo,0.9,High-Confidence,0.74,5.5,In Progress,,True,True
LMP-00074,2026-02-03,Anambra,Awka South,Awka South Community 4,Healthcare Access,"Community clinic promised in September has still not been built, pregnant women travel far for care.",3,2,80,text_only,0.5,Unverified,0.91,1.3,In Progress,,True,True
LMP-00075,2026-01-28,Oyo,Ibadan North,Ibadan North Community 6,Water Infrastructure,My community has not had water for 6 weeks and the borehole project announced last year has not been completed.,2,4,40,text_only,0.5,Corroborated,0.79,1.7,Referred to Authority,,False,True
LMP-00076,2026-04-24,Anambra,Awka South,Awka South Community 1,Suspected Misuse of Public Funds,Road rehabilitation project was marked complete in official records but no visible work was done.,3,1,3000,video,0.95,Unverified,0.77,4.6,In Progress,,True,True
LMP-00077,2026-04-21,Kano,Dala,Dala Community 3,Electricity/Power,We have had no electricity supply for 6 days despite paying our estimated bills.,3,5,600,voice_note,0.7,Unverified,0.84,6.7,Referred to Authority,,True,True
LMP-00078,2026-09-02,Kano,Fagge,Fagge Community 7,Environmental Hazard,"Waste has not been evacuated from this dumpsite in 8 weeks, causing serious odour and flooding risk.",4,4,1200,text_only,0.5,Needs Corroboration,0.73,7.0,No Action Yet,,True,True
LMP-00079,2026-02-01,Borno,Maiduguri,Maiduguri Community 2,Electricity/Power,We have had no electricity supply for 8 days despite paying our estimated bills.,4,3,80,text_only,0.5,Needs Corroboration,0.83,2.6,Under Review,,False,True
LMP-00080,2026-05-23,Oyo,Egbeda,Egbeda Community 7,Water Infrastructure,"The public water tap in our area has been dry since May, residents now trek 11km to fetch water.",3,5,150,photo,0.9,Conflicting Reports,0.79,6.2,Under Review,,True,True
LMP-00081,2026-01-02,Kano,Dala,Dala Community 4,Community Dispute,There is an ongoing land boundary dispute between two families that has led to tension in the market.,3,3,15,photo,0.9,Needs Corroboration,0.87,3.3,Under Review,,True,True
LMP-00082,2026-03-25,Rivers,Ikwerre,Ikwerre Community 7,Electricity/Power,We have had no electricity supply for 12 days despite paying our estimated bills.,2,5,150,voice_note,0.7,Unverified,0.78,3.2,Under Review,,True,True
LMP-00083,2026-03-30,Lagos,Alimosho,Alimosho Community 3,Abuse/Protection Concern,A vulnerable community member is reportedly being denied access to support services by a local intermediary.,4,4,3000,text_only,0.5,Unverified,0.77,12.8,Referred to Authority,,False,True
LMP-00084,2026-03-07,Kano,Dala,Dala Community 8,Suspected Misuse of Public Funds,Road rehabilitation project was marked complete in official records but no visible work was done.,2,5,15,photo,0.9,Unverified,0.73,3.7,No Action Yet,,True,True
LMP-00085,2026-08-24,Oyo,Ibadan North,Ibadan North Community 1,Environmental Hazard,Gas flaring near our farmland is affecting crop yield and causing respiratory complaints.,3,2,600,photo,0.9,Unverified,0.93,3.5,No Action Yet,,True,True
LMP-00086,2026-06-26,Oyo,Egbeda,Egbeda Community 7,Abuse/Protection Concern,Reports of a minor being kept out of school for exploitative labour in the local market.,4,4,15,none,0.3,High-Confidence,0.68,1.9,Under Review,,True,True
LMP-00087,2026-06-12,Kano,Gwale,Gwale Community 2,Healthcare Access,"Community clinic promised in July has still not been built, pregnant women travel far for care.",4,4,300,text_only,0.5,Corroborated,0.7,4.2,No Action Yet,,True,True
LMP-00088,2026-02-15,Anambra,Nnewi North,Nnewi North Community 4,Safety/Security Concern,"Unknown persons have been seen surveying the area at night, residents are afraid.",4,2,300,photo,0.9,Corroborated,0.84,3.7,Referred to Authority,,False,True
LMP-00089,2026-01-10,Borno,Jere,Jere Community 6,Safety/Security Concern,"There have been 9 reported cases of armed robbery on this road at night, no police patrol has been seen.",4,3,300,text_only,0.5,Unverified,0.75,3.1,Under Review,,True,True
LMP-00090,2026-05-09,Oyo,Ibadan South-West,Ibadan South-West Community 2,Electricity/Power,"Transformer in our street has been faulty for 9 months, several complaints filed with no response.",3,1,3000,video,0.95,Unverified,0.83,4.6,Referred to Authority,,True,True
LMP-00091,2026-08-23,Lagos,Epe,Epe Community 2,Safety/Security Concern,"There have been 10 reported cases of armed robbery on this road at night, no police patrol has been seen.",3,2,3000,none,0.3,Corroborated,0.81,2.9,Under Review,,True,True
LMP-00092,2026-09-04,Plateau,Jos South,Jos South Community 6,Abuse/Protection Concern,A vulnerable community member is reportedly being denied access to support services by a local intermediary.,4,3,40,text_only,0.5,Unverified,0.76,2.5,In Progress,,True,True
LMP-00093,2026-06-21,Oyo,Ibadan North,Ibadan North Community 3,Safety/Security Concern,"Unknown persons have been seen surveying the area at night, residents are afraid.",5,2,40,voice_note,0.7,Corroborated,0.76,2.9,In Progress,,True,True
LMP-00094,2026-07-21,Plateau,Barkin Ladi,Barkin Ladi Community 6,Water Infrastructure,"The public water tap in our area has been dry since March, residents now trek 6km to fetch water.",4,3,3000,photo,0.9,Unverified,0.98,17.3,No Action Yet,,True,True
LMP-00095,2026-02-12,Anambra,Nnewi North,Nnewi North Community 9,Water Infrastructure,"Contractors abandoned the water scheme project midway, pipes are left exposed on the road.",2,4,80,photo,0.9,Corroborated,0.92,3.1,In Progress,,False,True
LMP-00096,2026-08-02,Lagos,Epe,Epe Community 6,Healthcare Access,"Community clinic promised in May has still not been built, pregnant women travel far for care.",5,4,150,text_only,0.5,Conflicting Reports,0.73,4.6,Under Review,,True,True
LMP-00097,2026-08-12,Oyo,Egbeda,Egbeda Community 8,Environmental Hazard,Gas flaring near our farmland is affecting crop yield and causing respiratory complaints.,3,2,150,text_only,0.5,Unverified,0.67,1.4,Referred to Authority,,True,True
LMP-00098,2026-08-15,Anambra,Awka South,Awka South Community 9,Electricity/Power,"Transformer in our street has been faulty for 3 months, several complaints filed with no response.",2,5,80,video,0.95,High-Confidence,0.65,4.1,In Progress,,True,True
LMP-00099,2026-07-22,Lagos,Epe,Epe Community 1,Community Dispute,Youths from two neighbouring communities clashed over grazing route access.,3,3,150,photo,0.9,Conflicting Reports,0.96,3.7,Referred to Authority,,True,True
LMP-00100,2026-05-16,Rivers,Port Harcourt,Port Harcourt Community 5,Environmental Hazard,"Waste has not been evacuated from this dumpsite in 9 weeks, causing serious odour and flooding risk.",3,1,15,photo,0.9,Needs Corroboration,0.92,1.1,In Progress,,False,True
